ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system,refund_amount_normalized,canonical
TK-240061,2025-01-05 22:07,2025-01-06 01:51,2025-01-07 02:17,resolved,social,C107566,VR884038,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,A3037,0,2.0,85400.0,RETURN-QC-OK,N,"hi there, this is regarding the airlite buds.  refund not received yet. i emailed twice. what do i do now? thank u, thomas",rfnd of rs 854 initiated to source. issue: rfnd pending. chk reverse pickup qc status.,legacy_fd,854.0,True
TK-240069,2025-01-06 16:49,2025-01-06 17:27,2025-01-06 17:55,resolved,social,C102093,VR903797,VA-EB-AIR,Billing & Payments,High,Billing,A3035,0,5.0,179900.0,DUP-PAYMENT,N,"Hi there, Got the AirLite buds from vireo.in a month ago. Payment went through but I got no order id. I tried logging out and in. Nothing changed. Can someone fix this? Thanks in advance, Om Misshra",Contact re amount deducted without ord. Asked for UTR. rfnd of Rs 1799 initiated to source. Follow-up not required.,legacy_fd,1799.0,True
TK-240089,2025-01-08 00:44,2025-01-08 00:47,2025-01-08 01:04,resolved,chat,C103912,VR881495,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3029,0,5.0,249900.0,GW-OTHER,N,"This is very disappointing. I bought my Pulse on 30 Dec. my son ordered this without asking, please reverse. I already tried cancel button, greyed out. Refund. Now.","cancelled, refund initiated. issue: cancellation request. checked shipment status. -RM",legacy_fd,2499.0,True
TK-240091,2025-01-08 08:11,2025-01-08 09:46,2025-01-08 10:09,closed,email,C107204,,VA-SP-ORB,Billing & Payments,High,Billing,A3034,0,3.0,600.0,DUP-PAYMENT,N,"namaste, got my orbit from amazon 10 days ago. payment was deducted but no order was created. i tried logging out and in. please call me on my registered number. thank you divya",- (sop 2.7),helpdesk,600.0,True
TK-240100,2025-01-08 17:32,2025-01-09 01:53,2025-01-10 02:07,closed,email,C108017,,VA-EB-AIR,Billing & Payments,High,Billing,A3032,0,,161900.0,RETURN-QC-OK,N,"Hi, I bought airlite earbuds on 04/01. Still waiting for my refund. I emailed twice. Waiting for youur reply.","1. refund not credited
2. checked refund status on pg
3. refund of rs 1619 initiated to source ~Sneha",legacy_fd,1619.0,True
TK-240102,2025-01-08 19:39,2025-01-08 19:52,2025-01-08 20:08,resolved,chat,C103196,VR889118,VA-EB-PL1,Returns & Refunds,Normal,Returns Desk,A3036,0,3.0,31900.0,RETURN-QC-OK,N,"Hi team,
Got Pulse earbuds from vireo.in in December. You picked up the item 9 days ago and my money hasn't come back.
Please help.
Thaks & regards Nisha Rao",Cx reported refund pending. Checked reverse pickup QC status. Refund of Rs 319 initiated to source. Closing. (SOP 5.4),legacy_fd,319.0,True
TK-240106,2025-01-08 21:19,2025-01-08 22:33,2025-01-08 22:55,resolved,email,C100543,,VA-SW-FIT,Billing & Payments,High,Billing,A3032,0,,100000.0,DUP-PAYMENT,N,"paid via UPI, amount deducted, no order confirmation","1. payment debited, no order
2. checked pg dashboard for txn
3. rfnd approved, rs 1000, 5-7 working days",legacy_fd,1000.0,True
TK-240109,2025-01-09 08:30,2025-01-09 08:42,2025-01-12 09:00,closed,chat,C104018,VR904257,VA-SW-FIT,Delivery & Shipping,Normal,Logistics,A3028,0,,159900.0,RETURN-QC-OK,N,"Hi Vireo support,
Ordder VR904257 (Nexa Fit). I ordered Nexxa Fit and got something else.
How do I get this fixed?",cx states incorrect product shipped. raised w/ warehouse. full rfnd processed (1599).,legacy_fd,1599.0,True
TK-240111,2025-01-09 11:23,2025-01-09 16:48,2025-01-09 17:04,resolved,email,C105840,VR886372,VA-NB-ARC,Audio Quality,High,Email Frontline,A3018,0,5.0,129900.0,DOA-REPL,N,"Hello Vireo,
Ordered the neckband in November. EVERYTHING SOUNDS LIKE IT IS COMING FROM ONE DIRECTION NOW.
I CHECKED BALANCE SETTINGS.
NOT WHAT I EXPECTED FROM VIREO.
KINDLY LOOK INTO IT.
PLEASE REVERT,","single side audio only | asked cx to cehck bud in case -> refund approved, rs 1299, 5-7 working days ~Krishna",legacy_fd,1299.0,True
TK-240117,2025-01-09 17:53,2025-01-09 20:41,2025-01-12 20:55,resolved,voice,C108964,,VA-HP-ST3,Returns & Refunds,Normal,Returns Desk,A3036,0,3.0,140000.0,GW-OTHER,N,I have been a loyal customer and this is how you treat me.  Bought my Strata 3 headphones around 31-12-2024 from vireo.in. still waiting for my refund. I already emailed twice. Fix this or I am posting on twitter.,Ticet raised for rfnd delay. Checked reverse pkp QC status. Full rfnd processed (1400). Case closed with cx consent.,legacy_fd,1400.0,True
TK-240120,2025-01-09 18:33,2025-01-09 19:06,2025-01-10 19:21,resolved,social,C101770,,VA-HP-ST3,Returns & Refunds,Normal,Returns Desk,A3036,0,,1329800.0,GW-OTHER,N,"Hi team, Ordered the strata 3 10 days ago. Refund not received yet. I checked bank. Please advise. Regards,",Customer sattes rfnd delay. chk reverse pkp QC status. rfnd of Rs 13298 initiated to source. Closing. (SOP 3.1),legacy_fd,13298.0,True
TK-240121,2025-01-09 19:09,2025-01-09 19:11,2025-01-09 19:22,resolved,chat,C104793,VR882961,VA-SW-FIT,Delivery & Shipping,High,Logistics,A3010,1,,1999.0,CANCEL,N,"Dear Sir/Madam, the fit band purchased in January, order VR882961.  Change of mind, please stop the shipment. I tied cancel button, greyed out. Really frustrating. Please call me on my registered number. Thanks",cx: order cancellation | cancelled before dispatch -> refunded rs 1999 | xfer chat frontline ~Tenzin,helpdesk,1999.0,True
TK-240134,2025-01-10 21:01,2025-01-11 18:30,2025-01-13 18:43,resolved,email,C108635,VR889219,VA-EB-PL1,Returns & Refunds,Normal,Returns Desk,A3036,0,2.0,1999.0,RETURN-QC-OK,N,"Bought my Pulse around 14-12-2024 from Amazon. Return pickup has not happened.
Please advise.
Rgds, Vikram",Contact re reverse picckup pending. Re-raised pickp with courier. rfnd of Rs 1999 initiated to source. Cx satisfied on chat. (SOP 5.4),helpdesk,1999.0,True
TK-240135,2025-01-10 22:50,2025-01-11 00:39,2025-01-11 00:49,resolved,email,C105526,,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,A3037,0,,179900.0,RETURN-QC-OK,N,"hi there,
this is regarding airlite. the app said pickup today, that was on 22-12-2024.
i called courier.
very poor quality.
please advise.
awaiting response, neha saxena",refunded rs 1799. issue: pickup missed. re-raised pickup w/ courier. ~Manish,legacy_fd,1799.0,True
TK-240138,2025-01-11 01:01,2025-01-11 01:01,2025-01-11 01:17,closed,chat,C102761,,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3031,0,4.0,199900.0,GW-OTHER,N,"change of mind, please stop the shipment",Refunded Rs 1999. Issue: cancel order. Cancelled before dispatch.,legacy_fd,1999.0,True
TK-240146,2025-01-11 21:18,2025-01-11 23:44,2025-01-14 00:09,resolved,email,C107653,VR880913,VA-HP-ST3,Returns & Refunds,Normal,Returns Desk,A3037,0,4.0,699900.0,GW-OTHER,N,"hi there, i bought strata 3 on 04/01.  still waiting for my refund. i checked bank. kindly look into it.",rfnd of rs 6999 initiated to source. issue: rfnd delay. checked rfnd status on pg.,legacy_fd,6999.0,True
TK-240148,2025-01-12 12:55,2025-01-12 13:18,2025-01-20 14:40,resolved,social,C106341,,VA-EB-PL1,Warranty & Repair,Normal,Escalations & Warranty,A3039,0,,2499.0,GW-OTHER,N,"case does not charge, no light at all",issue: case no led / no charge | asked cx to try different cable + adaptor -> full refund processed (2499) (sop 5.4) refund issued; replacement not applicable (out of stock). ~Reyansh,helpdesk,2499.0,True
TK-240154,2025-01-12 20:15,2025-01-12 20:23,,open,chat,C106035,VR896565,VA-SW-FIT,Other,Normal,Chat Frontline,A3005,0,,24000.0,CANCEL,N,"Dear Sir/Madam,
Bought the fit band around 30/12 from Amazon. My son ordered this without asking, please reverse.
I tried cancel button, greyed out. Nothing changed.
Very poor quality.
Please resolve asap.
Thanks & regards Dev","Contact re cancellation request. chk shipment status. Already shipped, advised RTO/return.",legacy_fd,240.0,True
TK-240157,2025-01-12 23:21,2025-01-12 23:22,2025-01-12 23:40,resolved,chat,C103306,VR898288,VA-EB-PL1,Audio Quality,Normal,Chat Frontline,A3003,0,4.0,249900.0,WTY-BUYBACK,N,"Hello, Got my Pulse from Flipkart last week. Left side has no audio at all. I reset the buds. Need this sorted this week. Thanks & regards Sunita","1. No audio one side
2. Checked balance settings w/ cx
3. Full rfnd processed (2499) -KS",legacy_fd,2499.0,True
TK-240163,2025-01-13 10:25,2025-01-13 12:21,2025-01-13 12:38,resolved,email,C101851,VR888718,VA-EB-AIR,Delivery & Shipping,Normal,Logistics,A3031,0,,179900.0,CANCEL,N,"hey
my son ordered this without asking, please reverse
the airlite buds VR888718
help","Already shipped, advised RTO/return. Issue: cancel order. Cancelled before dispatch.",legacy_fd,1799.0,True
TK-240177,2025-01-14 08:33,2025-01-14 08:39,2025-01-14 09:00,resolved,chat,C100972,,VA-EB-PL1,Billing & Payments,High,Billing,A3032,0,,25000.0,DUP-PAYMENT,N,pathetic experience honestly. i bought pulse 1 on 13-01-2025. payment wnet through but i got no order id. i already waiited 24 hours. this is the last time i buy from you.,"1. failed ord after payment
2. checked pg dashboard for txn
3. refund approved, rs 250, 5-7 working days ~Sneha",legacy_fd,250.0,True
TK-240194,2025-01-15 17:30,2025-01-15 17:32,2025-01-15 17:50,resolved,chat,C108831,VR885140,VA-EB-PL1,Other,Normal,Chat Frontline,A3005,0,,125000.0,DUP-PAYMENT,N,"hi
payment was deducted but no order was created",Contact re failed order after payment. Asked for UTR. rfnd processed to source.,legacy_fd,1250.0,True
TK-240201,2025-01-16 07:47,2025-01-16 07:48,2025-01-17 08:13,resolved,chat,C101635,VR898527,VA-HP-ST3,Billing & Payments,High,Billing,A3034,0,,70000.0,RETURN-QC-OK,N,"hi vireo support, bought strata 3 around january 02 from vireo.in. you picked up the item 15 days ago and my money hasn't come back. i checked bank. nothing changed. waiting for your reply. please revert, lobsang arora","closed. -- cx asked for replacement + refund, explained policy, refund only.",legacy_fd,700.0,True
TK-240216,2025-01-16 21:23,2025-01-17 08:08,2025-01-17 08:27,resolved,email,C104593,VR906849,VA-EB-PL1,Billing & Payments,High,Billing,A3034,0,3.0,499800.0,DUP-PAYMENT,N,"team,
double payment deducted
kuch karo
my pulse vr906849
pls reply","1. charged twice
2. confirmed utrs
3. full refund processed (4998) (sop 4.2)",legacy_fd,4998.0,True
TK-240226,2025-01-17 11:55,2025-01-17 11:57,2025-01-19 12:11,resolved,chat,C101853,VR880521,VA-HP-ST2,Returns & Refunds,Normal,Returns Desk,A3038,0,4.0,4999.0,GW-OTHER,N,pickup scheduled but no one shoewd up - please cll me on my registered number,"1. Pickup missed
2. Re-raised pickup with courier
3. Refunded Rs 4999",helpdesk,4999.0,True
TK-240242,2025-01-18 13:14,2025-01-18 13:14,2025-01-18 13:52,resolved,chat,C103306,,VA-EB-PL1,Other,Normal,Chat Frontline,A3007,0,,249900.0,GW-OTHER,N,Not what I expected from Vireo. Bought the Pulse buds around 17/12 from Flipkart. keeps losing my phone if I walk to the other room. I already kept phone in hand. Fix this or I am posting on twitter.,"rplc approved, reverse pkp arranged. amount returned to card; fresh unit shipped from blr warehouse.",legacy_fd,2499.0,True
TK-240246,2025-01-18 21:22,2025-01-19 03:42,2025-01-19 04:10,resolved,email,C107516,VR891404,VA-AC-CBL,Billing & Payments,Normal,Billing,A3034,0,,80.0,GW-OTHER,N,"Dear Sir/Madam,

I am writing with reference to my order of braided cable (VR891404) placed on January 06. Paid via UPI, amount deducted, no order confirmation. I have waited 24 hours. I request you to provide a resolution within 3 working days.

Yours faithfully,
Riya George",see prev (sop 5.4),helpdesk,80.0,True
TK-240247,2025-01-18 21:54,2025-01-19 00:04,2025-01-21 00:37,resolved,email,C103582,VR904442,VA-AC-CH65,Billing & Payments,Normal,Billing,A3032,0,,67400.0,GW-OTHER,N,"dear sir/madam,
i bought the gan charger on 31 dec. you picked up the item 11 days ago and my money hasn't come back.
i want a replacement.
please revert","1. rfnd pending
2. checked rfnd status on pg
3. full rfnd processed (674) ~Sneha",legacy_fd,674.0,True
TK-240256,2025-01-19 22:18,2025-01-19 22:23,2025-01-19 22:54,resolved,chat,C105671,VR881590,VA-HP-ST3,Billing & Payments,Normal,Billing,A3032,0,,66500.0,DUP-PAYMENT,N,"money debited but order not showing, i want my money back",- ~Sneha,legacy_fd,665.0,True
TK-240258,2025-01-20 07:22,2025-01-20 07:38,2025-01-20 08:12,resolved,chat,C101969,,VA-HP-ST2,Audio Quality,Normal,Chat Frontline,A3006,0,,424900.0,DOA-REPL,Y,"Got my Strata 2 headphones from Amazon 10 days ago. Right earbud completely silent. I tried different phone. Nothing changed. Kindly look into it. Awaiting response,",replacement raised. issue: right side silent. walked through reset. -- both refund and replacement given as cx threatened social media. -VB,legacy_fd,4249.0,True
TK-240262,2025-01-20 19:47,2025-01-20 19:57,2025-01-25 20:27,resolved,chat,C108107,VR890611,VA-HP-ST2,Delivery & Shipping,Normal,Logistics,A3030,0,5.0,399900.0,GW-OTHER,N,"dear sir/madam,

i am writing with reference to my order of my strata 2 headphones (vr890611) placed on january 19.  opened the parcel and it is a completely different thing. i have checked the invoice. i request you to provide a resolution within 3 working days.

yours faithfully,
ramesh verma",Cx reported incorrect product shipped. Raised with warehouse. Refunded Rs 3999. //AIS,legacy_fd,3999.0,True
TK-240263,2025-01-21 04:06,2025-01-21 04:15,2025-01-22 04:32,resolved,chat,C105736,,VA-AC-CBL,Delivery & Shipping,Normal,Logistics,A3029,0,,71800.0,GW-OTHER,N,"Very poor quality.  BOUGHT THE CABLE AROUND 02/08 FROM AMAZON. package not delivered even after 16 days. I already called the courier. I want a replacement or refund, nothing else.",refund initiated as lost in transit. issue: order not delivered. confirmed address with cx. -- full refund issued and replacement dispatched as goodwill. -RM,legacy_fd,718.0,True
TK-240272,2025-01-21 21:44,2025-01-22 03:02,2025-01-24 03:22,resolved,email,C100543,VR907895,VA-SW-FIT,Returns & Refunds,Normal,Returns Desk,A3037,0,5.0,20000.0,RETURN-QC-OK,N,"I am losing patience. Bought Nexa Fit around 27-12-2024 from vireo.in. refund not received yet. I already checked bank. I want a replacement or refund, nothing else.",refund of rs 200 initiated to source. issue: refund pending. chk refund status on pg.,legacy_fd,200.0,True
TK-240279,2025-01-22 12:18,2025-01-22 13:02,2025-01-22 13:36,resolved,email,C106216,,VA-EB-AIR,Other,Low,Email Frontline,A3022,0,,179900.0,GW-OTHER,N,"helo
random disconnects during calls
airlite earbuds
??",Cx reported intermittent disconnects. Advised to test in different location. rfnd of Rs 1799 initiated to source. (SOP 3.1),legacy_fd,1799.0,True
TK-240285,2025-01-23 06:59,2025-01-23 08:38,2025-01-23 09:01,resolved,email,C104277,,VA-SP-ORB,Billing & Payments,Normal,Billing,A3032,0,3.0,479900.0,DUP-PAYMENT,N,"bhi
upi shows success, your app shows nothing
kuch karo
urgent","1. amount deducted without order
2. asked for utr
3. refund approved, rs 4799, 5-7 working days ~Sneha",legacy_fd,4799.0,True
TK-240307,2025-01-25 11:19,2025-01-25 12:05,2025-01-25 12:13,resolved,voice,C104340,,VA-HP-ST2,Other,Normal,Voice Frontline,A3023,0,,899800.0,GW-OTHER,N,"[IVR transcript] I bought Strata 2 on 12 Jan. Want to cancel my order. I tried caancel button, greyed out. Neeed this sored tihs week. Regards, Payal Pereira",rfnd approved -RG,legacy_fd,8998.0,True
TK-240311,2025-01-25 14:55,2025-01-25 15:02,2025-01-25 15:18,resolved,chat,C106374,VR899062,VA-EB-AIR,Other,Normal,Chat Frontline,A3015,0,,28800.0,GW-OTHER,N,the page failed after I paid and now nothing shows in my account. VR899062. waiting for your reply,Refunded Rs 288. Issue: failed order after payment. chk PG dashboard for txn.,legacy_fd,288.0,True
TK-240320,2025-01-26 18:44,2025-01-26 22:37,2025-01-26 23:16,resolved,email,C103944,VR881385,VA-EB-AIR,Audio Quality,Normal,Email Frontline,A3002,0,3.0,179900.0,GW-OTHER,N,"hey
there is a frying sound in the background of every song
the airlite buds
help","issue: crackling/distortion | checked fw -> advised eq reset, resolved. -- refund + rplc, cx escalation avoided. [closed]",legacy_fd,1799.0,True
TK-240328,2025-01-27 15:54,2025-01-27 16:34,2025-01-28 16:55,resolved,email,C104018,VR904257,VA-SW-FIT,Returns & Refunds,Normal,Returns Desk,A3022,2,,1599.0,GW-OTHER,N,"Hi Vireo support, Got the fit band frmo Amazon 3 weeks back. Where is the money for the return. Please resolve asap.","1. rfnd delay
2. Checked reverse pickup QC status
3. xfer to Email Frontline
4. rfnd approved, Rs 1599, 5-7 working days. Replacement was offered earlier by chat team, cx opted for rfnd.",helpdesk,1599.0,True
TK-240338,2025-01-28 14:50,2025-01-28 23:51,2025-01-29 00:06,closed,email,C105498,VR897379,VA-AC-CBL,Returns & Refunds,Normal,Returns Desk,A3037,0,,17000.0,GW-OTHER,N,YOU PICKED UP THE ITEM 14 DAYS AGO AND MY MONEY HASN'T COME BACK. VR897379,refunded rs 170. issue: refund not credited. checked refund status on pg. ~Manish,legacy_fd,170.0,True
TK-240353,2025-01-29 12:16,2025-01-29 12:24,2025-01-29 12:33,resolved,chat,C101145,VR901128,VA-SW-NX2,Other,Normal,Chat Frontline,A3010,0,4.0,617400.0,CANCEL,N,"pathetic experience honestly.  ordered the nexa 2 last month. cancel order vr901128. i already tried cancel button, greyed out. this is the last time i buy from you.",re: cancel ord | cancelled before dispatch -> refunded rs 6174 ~Tenzin,legacy_fd,6174.0,True
TK-240354,2025-01-29 12:31,2025-01-29 12:49,2025-01-29 13:03,resolved,email,C103656,VR896770,VA-EB-PL1,Other,Normal,Email Frontline,A3019,0,4.0,4248.0,GW-OTHER,N,bought the pulse buds around 22-01-2025 from amazon. want to cancel my order. please help. regards aarav khanna,cx: cancel ord | chk shipment satus -> refunded rs 4248,helpdesk,4248.0,True
TK-240357,2025-01-29 14:20,2025-01-29 14:45,2025-01-31 15:12,resolved,voice,C107743,,VA-EB-PL1,Returns & Refunds,Normal,Returns Desk,A3036,0,4.0,199900.0,RETURN-QC-OK,N,[IVR transcript] hello where is the moey for the return,"Cust contacted re refund not credited. chk reverse pickup QC status. Refunded Rs 1999. Cx informed.
rplc was offered earlier by chat team, cx opted for rfnd.",legacy_fd,1999.0,True
TK-240359,2025-01-29 15:08,2025-01-29 15:09,2025-01-29 15:42,resolved,chat,C108446,VR887497,VA-AC-CH65,Returns & Refunds,High,Returns Desk,A3036,0,3.0,22500.0,RETURN-QC-OK,N,"Hello, I bought your charger on 12/01. Still waiting for my refund. I checked bank. Please advise. Awaiting response","Ticket raised for refund pending. chk reverse pkp QC status. Refund approved, Rs 225, 5-7 working days. Cx satisfied on chat.",legacy_fd,225.0,True
TK-240360,2025-01-29 19:43,2025-01-29 20:23,2025-01-29 20:41,resolved,social,C106975,VR885685,VA-HP-ST3,Other,Normal,Chat Frontline,A3008,0,,664900.0,CANCEL,N,"Hi there, Order VR885685 (Strata 3). My son ordered this without asking, please reverse. I tried cancel button, greyed out. I want a replacement. Thank you, Aishwarya","Cancelled, rfnd initiated. Issue: cancellation request. chk shipment status. //MEE",legacy_fd,6649.0,True
TK-240368,2025-01-30 10:44,2025-01-30 12:51,2025-01-30 13:02,resolved,social,C103991,VR903164,VA-AC-CH65,Other,Normal,Chat Frontline,A3013,0,3.0,27000.0,CANCEL,N,"Product: ur charger
Purchased: January 21
Issue: my son ordered this without asking, plese reverse
Tried: tried cancel button, greyed out
Expected: refuund",refunded rs 270. issue: order cancellation. cancelled before dispatch. ~Rohit,legacy_fd,270.0,True
TK-240381,2025-01-31 18:10,2025-01-31 18:17,2025-01-31 18:26,resolved,chat,C106563,VR906319,VA-EB-PL1,Billing & Payments,High,Billing,A3035,0,5.0,237400.0,GW-OTHER,N,"team,
pls cancel, ordered by mistake
urgent","cx reached out - cancellation request. Cancelled before dispatch. Already shipped, advised RTO/return. Cx satisfied on chat.",legacy_fd,2374.0,True
TK-240384,2025-02-01 10:35,2025-02-01 11:00,2025-02-01 11:20,resolved,voice,C108534,,VA-SW-FIT,Other,High,Voice Frontline,A3023,0,2.0,90000.0,DUP-PAYMENT,N,"Namaste, Got the fit band from vireo.in recently.  My bank says Rs 3499 went to u but your site says I have no orders. Please call me on my registered number. Thanks & regards, Saanvi",auto-rfnd conf within 5-7 days. issue: failed order aftre payment. chk pg dashboard for txn.,legacy_fd,900.0,True
TK-240399,2025-02-02 05:57,2025-02-02 06:22,2025-02-02 06:38,resolved,chat,C106269,VR892299,VA-EB-AIR,Billing & Payments,High,Billing,A3032,0,,143900.0,DUP-PAYMENT,N,"hello
payment went through but i got no order id
??","1. payment debited, no ord
2. confirmed with payment gateway
3. full refund processed (1439) ~Sneha",legacy_fd,1439.0,True
TK-240409,2025-02-02 22:54,2025-02-02 22:56,2025-02-02 23:10,closed,chat,C108211,VR886555,VA-EB-AIR,Other,Normal,Chat Frontline,A3016,0,5.0,170900.0,CANCEL,N,"to the vireo customer care team,

i am wrriting with reference to my order of airlite earbuds (vr886555) placed on 28 jan. want to cancel my order. i have tried cancel button, greyed out. i request you to process a refund to my original payment method.

regards,
vikram reddy",Cx says ord cancellation. Cancelled before dispatch. Full refund processed (1709). (SOP 5.4) -TK,legacy_fd,1709.0,True
TK-240415,2025-02-03 10:10,2025-02-03 11:28,2025-02-03 11:50,closed,social,C107923,VR889404,VA-EB-PL1,Product Enquiry,Normal,Chat Frontline,A3010,0,,199900.0,PRICE-ADJ,N,I have been a loyal customer and this is how you treat me.  Ordered Pulse earbuds 10 days ago. coupon code not working. I already tried on app and website. Escalate this to someone senior,"1. Discount not applied
2. Checked cart eligibility
3. Store credit issued ~Tenzin",legacy_fd,1999.0,True
TK-240416,2025-02-03 10:40,2025-02-03 11:13,2025-02-03 11:27,resolved,voice,C102107,VR894073,VA-HP-ST3,Billing & Payments,High,Billing,A3034,0,,266000.0,GW-OTHER,N,[IVR transcript] very poor quality. bought strata 3 around 26/01 from vireo.in. refund not received yet. i already cheecked bank. escalate thsi to someone senior.,see prev (sop 3.1),legacy_fd,2660.0,True
TK-240429,2025-02-04 12:28,2025-02-04 12:28,2025-02-04 12:44,resolved,chat,C102027,VR884192,VA-EB-PL1,Delivery & Shipping,Normal,Logistics,A3029,0,,2124.0,GW-OTHER,Y,"Product: pulse 1
Order: VR884192
Purchased: January 21
Issue: there's a dent on the case straight out of the box
Tried: refused nothing as I didn't notice till later
Expected: refund","refund initiated. issue: damaged in transit. photos received, damage confirmed. | full refund issued and replacement dispatched as goodwill. -RM",helpdesk,2124.0,True
